START DATE,START DATE2,START TIME,END_DATE*,END DATE,END TIME,TIME DIFFERENCE,CATEGORY*,START*,STOP*,MILES*,HOUR DIFFERENCE,PURPOSE*,SPEED,,,,,,,,
15-01-2016,15-01-2016,1:26:00 PM,15-01-2016,15-01-2016,1:44:00 PM,00:18,Business,Durham,Cary,10.4,0.3,Meal/Entertain,34.66666667,,,,,,,,
18-01-2016,18-01-2016,2:55:00 PM,18-01-2016,18-01-2016,3:06:00 PM,00:11,Business,Cary,Cary,4.8,0.18,Meal/Entertain,26.18181818,,,,,,,,
18-01-2016,18-01-2016,4:13:00 PM,18-01-2016,18-01-2016,4:24:00 PM,00:11,Business,Farmington Woods,Whitebridge,4.7,0.18,Meal/Entertain,25.63636364,,,,,,,,
19-01-2016,19-01-2016,9:09:00 AM,19-01-2016,19-01-2016,9:23:00 AM,00:14,Business,Whitebridge,Lake Wellingborough,7.2,0.23,,30.85714286,,,,,,,,
19-01-2016,19-01-2016,10:55:00 AM,19-01-2016,19-01-2016,11:09:00 AM,00:14,Business,Lake Wellingborough,Whitebridge,7.6,0.23,Temporary Site,32.57142857,,,,,,,,
20-01-2016,20-01-2016,10:36:00 AM,20-01-2016,20-01-2016,11:11:00 AM,00:35,Business,Cary,Raleigh,17.1,0.58,Meeting,29.31428571,,,,,,,,
20-01-2016,20-01-2016,11:48:00 AM,20-01-2016,20-01-2016,12:19:00 PM,00:31,Business,Fayetteville Street,Umstead,15.1,0.52,Meeting,29.22580645,,,,,,,,
20-01-2016,20-01-2016,1:25:00 PM,20-01-2016,20-01-2016,2:19:00 PM,00:54,Business,Raleigh,Cary,40.2,0.9,Customer Visit,44.66666667,,,,,,,,
21-01-2016,21-01-2016,2:25:00 PM,21-01-2016,21-01-2016,2:29:00 PM,00:04,Business,Cary,Cary,1.6,0.07,Errand/Supplies,24,,,,,,,,
21-01-2016,21-01-2016,2:43:00 PM,21-01-2016,21-01-2016,2:51:00 PM,00:08,Business,Cary,Cary,2.4,0.13,Meal/Entertain,18,,,,,,,,
21-01-2016,21-01-2016,4:01:00 PM,21-01-2016,21-01-2016,4:06:00 PM,00:05,Business,Cary,Cary,1,0.08,Meal/Entertain,12,,,,,,,,
26-01-2016,26-01-2016,10:41:00 AM,26-01-2016,26-01-2016,10:50:00 AM,00:09,Business,Whitebridge,Hazelwood,2,0.15,Meal/Entertain,13.33333333,,,,,,,,
26-01-2016,26-01-2016,12:33:00 PM,26-01-2016,26-01-2016,12:41:00 PM,00:08,Business,Hazelwood,Whitebridge,2.3,0.13,Errand/Supplies,17.25,,,,,,,,
26-01-2016,26-01-2016,4:24:00 PM,26-01-2016,26-01-2016,4:32:00 PM,00:08,Business,Whitebridge,Westpark Place,1.9,0.13,Errand/Supplies,14.25,,,,,,,,
26-01-2016,26-01-2016,5:17:00 PM,26-01-2016,26-01-2016,5:22:00 PM,00:05,Business,Cary,Cary,1.4,0.08,Errand/Supplies,16.8,,,,,,,,
26-01-2016,26-01-2016,5:27:00 PM,26-01-2016,26-01-2016,5:29:00 PM,00:02,Business,Cary,Cary,0.5,0.03,Errand/Supplies,15,,,,,,,,
27-01-2016,27-01-2016,9:24:00 AM,27-01-2016,27-01-2016,9:31:00 AM,00:07,Business,Cary,Cary,1.8,0.12,Meeting,15.42857143,,,,,,,,
27-01-2016,27-01-2016,10:19:00 AM,27-01-2016,27-01-2016,10:48:00 AM,00:29,Business,Cary,Raleigh,18.7,0.48,Customer Visit,38.68965517,,,,,,,,
27-01-2016,27-01-2016,12:34:00 PM,27-01-2016,27-01-2016,12:44:00 PM,00:10,Business,Fairmont,Meredith Townes,3.4,0.17,Customer Visit,20.4,,,,,,,,
27-01-2016,27-01-2016,2:05:00 PM,27-01-2016,27-01-2016,2:13:00 PM,00:08,Business,Raleigh,Raleigh,2.7,0.13,Customer Visit,20.25,,,,,,,,
27-01-2016,27-01-2016,2:46:00 PM,27-01-2016,27-01-2016,3:08:00 PM,00:22,Business,Raleigh,Cary,12.9,0.37,Customer Visit,35.18181818,,,,,,,,
28-01-2016,28-01-2016,12:28:00 PM,28-01-2016,28-01-2016,1:00:00 PM,00:32,Business,Cary,Raleigh,19,0.53,Temporary Site,35.625,,,,,,,,
28-01-2016,28-01-2016,3:11:00 PM,28-01-2016,28-01-2016,3:31:00 PM,00:20,Business,Meredith Townes,Leesville Hollow,14.7,0.33,Meeting,44.1,,,,,,,,
28-01-2016,28-01-2016,4:21:00 PM,28-01-2016,28-01-2016,4:51:00 PM,00:30,Business,Raleigh,Cary,15.7,0.5,Meeting,31.4,,,,,,,,
29-01-2016,29-01-2016,9:31:00 AM,29-01-2016,29-01-2016,9:45:00 AM,00:14,Business,Cary,Cary,4.6,0.23,Customer Visit,19.71428571,,,,,,,,
29-01-2016,29-01-2016,10:56:00 AM,29-01-2016,29-01-2016,11:07:00 AM,00:11,Business,Cary,Cary,5.2,0.18,Meeting,28.36363636,,,,,,,,
29-01-2016,29-01-2016,11:43:00 AM,29-01-2016,29-01-2016,12:03:00 PM,00:20,Business,Cary,Durham,10.4,0.33,Meeting,31.2,,,,,,,,
29-01-2016,29-01-2016,1:24:00 PM,29-01-2016,29-01-2016,1:47:00 PM,00:23,Business,Durham,Cary,10.1,0.38,Meeting,26.34782609,,,,,,,,
29-01-2016,29-01-2016,6:31:00 PM,29-01-2016,29-01-2016,6:52:00 PM,00:21,Business,Cary,Apex,5.8,0.35,Errand/Supplies,16.57142857,,,,,,,,
29-01-2016,29-01-2016,9:21:00 PM,29-01-2016,29-01-2016,9:40:00 PM,00:19,Business,Apex,Cary,5.5,0.32,Meal/Entertain,17.36842105,,,,,,,,
30-01-2016,30-01-2016,4:21:00 PM,30-01-2016,30-01-2016,4:33:00 PM,00:12,Business,Cary,Apex,5.7,0.2,Errand/Supplies,28.5,,,,,,,,
30-01-2016,30-01-2016,6:09:00 PM,30-01-2016,30-01-2016,6:24:00 PM,00:15,Business,Apex,Cary,5.7,0.25,Customer Visit,22.8,,,,,,,,
02-01-2016 10:35,02-01-2016,10:35:00 AM,02-01-2016 11:15,02-01-2016,11:15:00 AM,00:40,Business,Cary,Chapel Hill,19.4,0.67,Customer Visit,29.1,,,,,,,,
02-01-2016 12:10,02-01-2016,12:10:00 PM,02-01-2016 12:43,02-01-2016,12:43:00 PM,00:33,Business,Chapel Hill,Cary,23.3,0.55,Customer Visit,42.36363636,,,,,,,,
02-01-2016 12:56,02-01-2016,12:56:00 PM,02-01-2016 13:07,02-01-2016,1:07:00 PM,00:11,Business,Northwoods,Whitebridge,3.9,0.18,Meal/Entertain,21.27272727,,,,,,,,
02-02-2016 13:04,02-02-2016,1:04:00 PM,02-02-2016 13:23,02-02-2016,1:23:00 PM,00:19,Business,Whitebridge,Williamsburg Manor,8.3,0.32,Meeting,26.21052632,,,,,,,,
02-02-2016 13:51,02-02-2016,1:51:00 PM,02-02-2016 14:06,02-02-2016,2:06:00 PM,00:15,Business,Cary,Cary,6,0.25,Errand/Supplies,24,,,,,,,,
02-02-2016 14:38,02-02-2016,2:38:00 PM,02-02-2016 14:42,02-02-2016,2:42:00 PM,00:04,Business,Cary,Cary,1.6,0.07,Errand/Supplies,24,,,,,,,,
02-04-2016 08:40,02-04-2016,8:40:00 AM,02-04-2016 09:01,02-04-2016,9:01:00 AM,00:21,Business,Cary,Morrisville,5.2,0.35,Errand/Supplies,14.85714286,,,,,,,,
02-04-2016 09:37,02-04-2016,9:37:00 AM,02-04-2016 10:09,02-04-2016,10:09:00 AM,00:32,Business,Morrisville,Cary,9.7,0.53,Meal/Entertain,18.1875,,,,,,,,
02-04-2016 10:26,02-04-2016,10:26:00 AM,02-04-2016 10:32,02-04-2016,10:32:00 AM,00:06,Business,Cary,Cary,1.6,0.1,Meal/Entertain,16,,,,,,,,
02-04-2016 15:59,02-04-2016,3:59:00 PM,02-04-2016 16:03,02-04-2016,4:03:00 PM,00:04,Business,Cary,Cary,1.1,0.07,Meal/Entertain,16.5,,,,,,,,
02-04-2016 16:35,02-04-2016,4:35:00 PM,02-04-2016 16:39,02-04-2016,4:39:00 PM,00:04,Business,Cary,Cary,1.6,0.07,Meal/Entertain,24,,,,,,,,
02-04-2016 18:04,02-04-2016,6:04:00 PM,02-04-2016 18:31,02-04-2016,6:31:00 PM,00:27,Business,Whitebridge,Macgregor Downs,9,0.45,Meeting,20,,,,,,,,
02-04-2016 20:36,02-04-2016,8:36:00 PM,02-04-2016 20:55,02-04-2016,8:55:00 PM,00:19,Business,Cary,Cary,7.7,0.32,Meeting,24.31578947,,,,,,,,
02-05-2016 11:47,02-05-2016,11:47:00 AM,02-05-2016 12:07,02-05-2016,12:07:00 PM,00:20,Business,Cary,Durham,10.4,0.33,Meeting,31.2,,,,,,,,
02-05-2016 13:22,02-05-2016,1:22:00 PM,02-05-2016 13:41,02-05-2016,1:41:00 PM,00:19,Business,Durham,Cary,10.4,0.32,Meeting,32.84210526,,,,,,,,
02-06-2016 16:20,02-06-2016,4:20:00 PM,02-06-2016 16:53,02-06-2016,4:53:00 PM,00:33,Business,Cary,Raleigh,11.4,0.55,Between Offices,20.72727273,,,,,,,,
02-06-2016 18:57,02-06-2016,6:57:00 PM,02-06-2016 19:21,02-06-2016,7:21:00 PM,00:24,Business,Raleigh,Cary,9,0.4,Errand/Supplies,22.5,,,,,,,,
02-06-2016 19:28,02-06-2016,7:28:00 PM,02-06-2016 19:37,02-06-2016,7:37:00 PM,00:09,Business,Edgehill Farms,Whitebridge,3.2,0.15,Meal/Entertain,21.33333333,,,,,,,,
02-07-2016 16:49,02-07-2016,4:49:00 PM,02-07-2016 17:01,02-07-2016,5:01:00 PM,00:12,Business,Cary,Apex,5.6,0.2,Errand/Supplies,28,,,,,,,,
02-07-2016 18:03,02-07-2016,6:03:00 PM,02-07-2016 18:17,02-07-2016,6:17:00 PM,00:14,Business,Apex,Cary,5.7,0.23,Customer Visit,24.42857143,,,,,,,,
02-07-2016 18:39,02-07-2016,6:39:00 PM,02-07-2016 18:53,02-07-2016,6:53:00 PM,00:14,Business,Cary,Morrisville,6.1,0.23,Temporary Site,26.14285714,,,,,,,,
02-07-2016 20:22,02-07-2016,8:22:00 PM,02-07-2016 20:40,02-07-2016,8:40:00 PM,00:18,Business,Morrisville,Cary,6.1,0.3,Meeting,20.33333333,,,,,,,,
02-08-2016 12:57,02-08-2016,12:57:00 PM,02-08-2016 13:08,02-08-2016,1:08:00 PM,00:11,Business,Whitebridge,Edgehill Farms,4.3,0.18,Meal/Entertain,23.45454545,,,,,,,,
02-08-2016 14:00,02-08-2016,2:00:00 PM,02-08-2016 14:10,02-08-2016,2:10:00 PM,00:10,Business,Edgehill Farms,Whitebridge,2.7,0.17,Meal/Entertain,16.2,,,,,,,,
02-09-2016 10:54,02-09-2016,10:54:00 AM,02-09-2016 11:07,02-09-2016,11:07:00 AM,00:13,Personal,Whitebridge,Northwoods,5.3,0.22,,24.46153846,,,,,,,,
02-09-2016 11:43,02-09-2016,11:43:00 AM,02-09-2016 11:50,02-09-2016,11:50:00 AM,00:07,Personal,Northwoods,Tanglewood,3,0.12,,25.71428571,,,,,,,,
02-09-2016 13:36,02-09-2016,1:36:00 PM,02-09-2016 13:52,02-09-2016,1:52:00 PM,00:16,Personal,Tanglewood,Preston,5.1,0.27,,19.125,,,,,,,,
02-09-2016 13:58,02-09-2016,1:58:00 PM,02-09-2016 14:02,02-09-2016,2:02:00 PM,00:04,Personal,Preston,Whitebridge,1.5,0.07,,22.5,,,,,,,,
02-09-2016 18:55,02-09-2016,6:55:00 PM,02-09-2016 19:11,02-09-2016,7:11:00 PM,00:16,Business,Cary,Morrisville,6.1,0.27,,22.875,,,,,,,,
02-09-2016 20:24,02-09-2016,8:24:00 PM,02-09-2016 20:40,02-09-2016,8:40:00 PM,00:16,Business,Morrisville,Cary,6.1,0.27,Meal/Entertain,22.875,,,,,,,,
02-11-2016 16:28,02-11-2016,4:28:00 PM,02-11-2016 17:10,02-11-2016,5:10:00 PM,00:42,Business,Cary,Raleigh,17.3,0.7,Meal/Entertain,24.71428571,,,,,,,,
02-11-2016 17:49,02-11-2016,5:49:00 PM,02-11-2016 18:10,02-11-2016,6:10:00 PM,00:21,Business,Eastgate,Walnut Terrace,5.7,0.35,Meal/Entertain,16.28571429,,,,,,,,
02-11-2016 18:24,02-11-2016,6:24:00 PM,02-11-2016 18:46,02-11-2016,6:46:00 PM,00:22,Business,Raleigh,Morrisville,13.5,0.37,Temporary Site,36.81818182,,,,,,,,
02-11-2016 20:36,02-11-2016,8:36:00 PM,02-11-2016 20:51,02-11-2016,8:51:00 PM,00:15,Business,Morrisville,Cary,6.1,0.25,Temporary Site,24.4,,,,,,,,
02-12-2016 08:21,02-12-2016,8:21:00 AM,02-12-2016 08:42,02-12-2016,8:42:00 AM,00:21,Business,Cary,Durham,8.5,0.35,Temporary Site,24.28571429,,,,,,,,
02-12-2016 10:45,02-12-2016,10:45:00 AM,02-12-2016 10:52,02-12-2016,10:52:00 AM,00:07,Business,Durham,Morrisville,2.6,0.12,Temporary Site,22.28571429,,,,,,,,
02-12-2016 11:14,02-12-2016,11:14:00 AM,02-12-2016 11:35,02-12-2016,11:35:00 AM,00:21,Business,Morrisville,Raleigh,17,0.35,Customer Visit,48.57142857,,,,,,,,
02-12-2016 13:02,02-12-2016,1:02:00 PM,02-12-2016 13:36,02-12-2016,1:36:00 PM,00:34,Business,Raleigh,Cary,18,0.57,Meeting,31.76470588,,,,,,,,
02-12-2016 14:49,02-12-2016,2:49:00 PM,02-12-2016 15:06,02-12-2016,3:06:00 PM,00:17,Business,Cary,Morrisville,8.4,0.28,Meeting,29.64705882,,,,,,,,
02-12-2016 15:33,02-12-2016,3:33:00 PM,02-12-2016 16:06,02-12-2016,4:06:00 PM,00:33,Business,Morrisville,Cary,11.5,0.55,Customer Visit,20.90909091,,,,,,,,
13-02-2016,13-02-2016,2:21:00 PM,13-02-2016,13-02-2016,2:41:00 PM,00:20,Business,Cary,Morrisville,8.9,0.33,Meeting,26.7,,,,,,,,
13-02-2016,13-02-2016,11:45:00 PM,14-02-2016,14-02-2016,12:01:00 AM,23:44,Personal,East Elmhurst,Jackson Heights,2.7,23.73,,0.113764045,,,,,,,,
14-02-2016,14-02-2016,12:50:00 AM,14-02-2016,14-02-2016,1:00:00 AM,00:10,Personal,Jackson Heights,East Elmhurst,1.8,0.17,,10.8,,,,,,,,
14-02-2016,14-02-2016,2:07:00 PM,14-02-2016,14-02-2016,2:40:00 PM,00:33,Business,East Elmhurst,New York,8.1,0.55,Meeting,14.72727273,,,,,,,,
14-02-2016,14-02-2016,2:46:00 PM,14-02-2016,14-02-2016,3:03:00 PM,00:17,Business,Midtown,Midtown West,2,0.28,Meeting,7.058823529,,,,,,,,
14-02-2016,14-02-2016,4:35:00 PM,14-02-2016,14-02-2016,5:02:00 PM,00:27,Business,New York,Long Island City,13,0.45,Meeting,28.88888889,,,,,,,,
14-02-2016,14-02-2016,5:06:00 PM,14-02-2016,14-02-2016,5:29:00 PM,00:23,Business,Long Island City,Jamaica,13.9,0.38,Meeting,36.26086957,,,,,,,,
16-02-2016,16-02-2016,3:21:00 AM,16-02-2016,16-02-2016,4:13:00 AM,00:52,Business,Katunayaka,Unknown Location,43.7,0.87,Customer Visit,50.42307692,,,,,,,,
16-02-2016,16-02-2016,8:29:00 AM,16-02-2016,16-02-2016,9:34:00 AM,01:05,Business,Unknown Location,Colombo,14.1,1.08,,13.01538462,,,,,,,,
16-02-2016,16-02-2016,10:31:00 AM,16-02-2016,16-02-2016,10:41:00 AM,00:10,Business,Colombo,Colombo,2.6,0.17,,15.6,,,,,,,,
16-02-2016,16-02-2016,11:32:00 AM,16-02-2016,16-02-2016,12:02:00 PM,00:30,Business,Colombo,Colombo,4.5,0.5,,9,,,,,,,,
16-02-2016,16-02-2016,12:39:00 PM,16-02-2016,16-02-2016,12:42:00 PM,00:03,Business,Colombo,Colombo,1.7,0.05,,34,,,,,,,,
16-02-2016,16-02-2016,1:43:00 PM,16-02-2016,16-02-2016,1:55:00 PM,00:12,Business,Colombo,Colombo,1.8,0.2,Temporary Site,9,,,,,,,,
16-02-2016,16-02-2016,4:34:00 PM,16-02-2016,16-02-2016,5:10:00 PM,00:36,Business,Colombo,Colombo,6,0.6,,10,,,,,,,,
16-02-2016,16-02-2016,5:17:00 PM,16-02-2016,16-02-2016,5:26:00 PM,00:09,Business,Colombo,Nugegoda,1.1,0.15,Meal/Entertain,7.333333333,,,,,,,,
16-02-2016,16-02-2016,5:40:00 PM,16-02-2016,16-02-2016,5:44:00 PM,00:04,Business,Nugegoda,Unknown Location,3.6,0.07,Errand/Supplies,54,,,,,,,,
17-02-2016,17-02-2016,1:18:00 PM,17-02-2016,17-02-2016,2:04:00 PM,00:46,Business,Unknown Location,Colombo,14.7,0.77,Temporary Site,19.17391304,,,,,,,,
17-02-2016,17-02-2016,3:17:00 PM,17-02-2016,17-02-2016,3:22:00 PM,00:05,Business,Colombo,Colombo,1.7,0.08,Meal/Entertain,20.4,,,,,,,,
17-02-2016,17-02-2016,3:33:00 PM,17-02-2016,17-02-2016,4:17:00 PM,00:44,Business,Colombo,Katunayaka,21.4,0.73,Temporary Site,29.18181818,,,,,,,,
17-02-2016,17-02-2016,4:38:00 PM,17-02-2016,17-02-2016,4:43:00 PM,00:05,Business,Katunayaka,Katunayaka,0.5,0.08,Errand/Supplies,6,,,,,,,,
18-02-2016,18-02-2016,2:03:00 PM,18-02-2016,18-02-2016,2:45:00 PM,00:42,Business,Unknown Location,Islamabad,12.7,0.7,Temporary Site,18.14285714,,,,,,,,
18-02-2016,18-02-2016,3:16:00 PM,18-02-2016,18-02-2016,3:31:00 PM,00:15,Business,Islamabad,Unknown Location,6,0.25,Temporary Site,24,,,,,,,,
18-02-2016,18-02-2016,6:44:00 PM,18-02-2016,18-02-2016,6:58:00 PM,00:14,Business,Unknown Location,Islamabad,5.2,0.23,Customer Visit,22.28571429,,,,,,,,
18-02-2016,18-02-2016,7:27:00 PM,18-02-2016,18-02-2016,8:08:00 PM,00:41,Business,Islamabad,Unknown Location,10,0.68,Meeting,14.63414634,,,,,,,,
19-02-2016,19-02-2016,9:02:00 AM,19-02-2016,19-02-2016,9:14:00 AM,00:12,Business,Unknown Location,Unknown Location,18.3,0.2,Meeting,91.5,,,,,,,,
19-02-2016,19-02-2016,9:21:00 AM,19-02-2016,19-02-2016,9:51:00 AM,00:30,Business,Unknown Location,Unknown Location,11.2,0.5,Meeting,22.4,,,,,,,,
19-02-2016,19-02-2016,10:21:00 AM,19-02-2016,19-02-2016,10:48:00 AM,00:27,Business,Unknown Location,Islamabad,7.6,0.45,Meeting,16.88888889,,,,,,,,
19-02-2016,19-02-2016,11:20:00 AM,19-02-2016,19-02-2016,11:26:00 AM,00:06,Personal,Islamabad,Islamabad,1.5,0.1,,15,,,,,,,,
19-02-2016,19-02-2016,11:45:00 AM,19-02-2016,19-02-2016,11:50:00 AM,00:05,Personal,Islamabad,Islamabad,1,0.08,,12,,,,,,,,
19-02-2016,19-02-2016,12:09:00 PM,19-02-2016,19-02-2016,12:27:00 PM,00:18,Business,Islamabad,Unknown Location,7.3,0.3,Temporary Site,24.33333333,,,,,,,,
19-02-2016,19-02-2016,4:26:00 PM,19-02-2016,19-02-2016,4:45:00 PM,00:19,Business,Unknown Location,Islamabad,3.5,0.32,,11.05263158,,,,,,,,
19-02-2016,19-02-2016,5:09:00 PM,19-02-2016,19-02-2016,5:20:00 PM,00:11,Business,Islamabad,Islamabad,4.2,0.18,,22.90909091,,,,,,,,
19-02-2016,19-02-2016,8:08:00 PM,19-02-2016,19-02-2016,8:30:00 PM,00:22,Personal,Islamabad,Unknown Location,13.6,0.37,,37.09090909,,,,,,,,
19-02-2016,19-02-2016,8:34:00 PM,19-02-2016,19-02-2016,8:51:00 PM,00:17,Personal,Unknown Location,Unknown Location,2.5,0.28,,8.823529412,,,,,,,,
20-02-2016,20-02-2016,7:59:00 AM,20-02-2016,20-02-2016,8:32:00 AM,00:33,Personal,Unknown Location,Islamabad,14.4,0.55,,26.18181818,,,,,,,,
20-02-2016,20-02-2016,10:48:00 AM,20-02-2016,20-02-2016,10:56:00 AM,00:08,Personal,Islamabad,Islamabad,3,0.13,,22.5,,,,,,,,
20-02-2016,20-02-2016,11:45:00 AM,20-02-2016,20-02-2016,11:53:00 AM,00:08,Personal,Islamabad,Islamabad,1.5,0.13,,11.25,,,,,,,,
20-02-2016,20-02-2016,12:41:00 PM,20-02-2016,20-02-2016,1:17:00 PM,00:36,Business,Islamabad,R?walpindi,18.4,0.6,,30.66666667,,,,,,,,
20-02-2016,20-02-2016,2:50:00 PM,20-02-2016,20-02-2016,3:54:00 PM,01:04,Business,R?walpindi,R?walpindi,23.1,1.07,Meeting,21.65625,,,,,,,,
20-02-2016,20-02-2016,4:59:00 PM,20-02-2016,20-02-2016,5:54:00 PM,00:55,Personal,R?walpindi,Unknown Location,16.5,0.92,,18,,,,,,,,
20-02-2016,20-02-2016,6:00:00 PM,20-02-2016,20-02-2016,6:03:00 PM,00:03,Business,Unknown Location,Unknown Location,3.2,0.05,Errand/Supplies,64,,,,,,,,
20-02-2016,20-02-2016,7:28:00 PM,20-02-2016,20-02-2016,7:49:00 PM,00:21,Business,Unknown Location,Unknown Location,7.7,0.35,Errand/Supplies,22,,,,,,,,
21-02-2016,21-02-2016,9:07:00 AM,21-02-2016,21-02-2016,9:46:00 AM,00:39,Business,Unknown Location,Islamabad,14.5,0.65,,22.30769231,,,,,,,,
